,Vehicle,wikipedia_name,wikipedia_url,mission_type,mission_duration,orbits_completed,spacecraft,launch_mass,landing_mass,launch_rocket,launch_site,landing_date,landing_site,orbit_epoch,orbit_reference,orbit_regime,orbit_periapsis,orbit_apoapsis,orbit_inclination,orbit_period,apsis,crew_size,crew_members
72,STS-119,STS-119,https://en.wikipedia.org/wiki/STS-119," ISS assembly
"," 12 days, 19 hours, 29 minutes, 33 seconds<ref name=""home"" />
"," 202<ref name=""home"" />
"," {{OV|103}}
"," {{convert|266448|lb|kg|disp=flip}}<ref name=""presskit"">{{cite web |url=http://www.nasa.gov/pdf/304681main_STS-119_Press_Kit.pdf |title=STS-119 Press Kit |accessdate=11 March 2009 |publisher=NASA |year=2009 |author=NASA}}</ref>
"," {{convert|200986|lb|kg|disp=flip}}
",NaN," [[Kennedy Space Center|Kennedy]] [[Kennedy Space Center Launch Complex 39|LC-39A]]
"," {{end-date|28 March 2009, 19:13|timezone=yes}}&nbsp;UTC<ref name=""home"">{{cite web|url=http://www.spaceflightnow.com/shuttle/sts119/090328fd14/index3.html|title=Welcome home, Discovery!|accessdate=28 March 2009|publisher=Spaceflightnow.com|date=28 March 2009|author=William Harwood for CBS News}}</ref>
"," [[Kennedy Space Center|Kennedy]] [[Shuttle Landing Facility|SLF Runway&nbsp;15]]

"," 
"," [[geocentric orbit|Geocentric]]
"," [[Low Earth orbit|Low Earth]]
"," {{convert|217|nmi|km|disp=flip}}
"," {{convert|208|nmi|km|disp=flip}}
"," 51.6 degrees

"," 91.6 minutes
"," gee
"," 7
"," [[Lee J. Archambault]]<br/>[[Dominic A. Antonelli|Dominic A. ""Tony"" Antonelli]]<br/>[[Joseph M. Acaba]]<br/>[[Steven Swanson|Steven R. Swanson]]<br/>[[Richard R. Arnold]]<br/>[[John L. Phillips]]
"
73,STS-125,STS-125,https://en.wikipedia.org/wiki/STS-125," Hubble servicing
"," 12 days, 21 hours, 37 minutes, 9 seconds<ref name=""cnetlanding"" />
"," 197<ref name=""cnetlanding"" />
"," {{OV|104}}
","
","
",NaN," [[Kennedy Space Center|Kennedy]] [[Kennedy Space Center Launch Complex 39|LC-39A]]
"," {{end-date|24 May 2009, 15:39:05|timezone=yes}}&nbsp;UTC
"," [[Edwards Air Force Base|Edwards]] Runway&nbsp;22<ref name=""cnetlanding"">{{Cite web| url=http://news.cnet.com/space-shot/?keyword=Hubble+Space+Telescope|title=Shuttle Atlantis glides to smooth California landing|accessdate=26 May 2009|publisher=[[CNET]]|date=24 May 2009| first=William| last=Harwood}}</ref>

","
"," [[geocentric orbit|Geocentric]]
"," [[Low Earth orbit|Low Earth]]
"," {{convert|486|km}}
"," {{convert|578|km}}
"," 28.5°<ref group=NASA name=""final"" />

"," 97 min
"," gee
"," 7
"," [[Scott Altman]]<br />[[Gregory C. Johnson]]<br />[[Michael T. Good]]<br />[[Megan McArthur]]<br />[[John M. Grunsfeld]]<br />[[Michael J. Massimino]]<br />[[Andrew J. Feustel]]
"
74,STS-128,STS-128,https://en.wikipedia.org/wiki/STS-128," ISS assembly
"," 13&nbsp;days, 20&nbsp;hours, 54&nbsp;minutes, 55&nbsp;seconds
"," 219
"," {{OV|103}}
"," {{convert|267689|lb|kg|disp=flip}}<ref name=Presskit/>
","
",NaN," [[Kennedy Space Center|Kennedy]] [[Kennedy Space Center Launch Complex 39|LC-39A]]
"," {{end-date|12 September 2009, 00:53|timezone=yes}}&nbsp;UTC
"," [[Edwards Air Force Base|Edwards]] Runway&nbsp;22

"," 29 August 2009<ref name=""SATCAT"">{{cite web|url=http://planet4589.org/space/log/satcat.txt|title=Satellite Catalog|first=Jonathan|last=McDowell|work=Jonathan's Space Page|accessdate=24 May 2013}}</ref>
"," [[geocentric orbit|Geocentric]]
"," [[Low Earth orbit|Low Earth]]
"," {{convert|219|km}}<ref name=""SATCAT""/>
"," {{convert|264|km}}<ref name=""SATCAT""/>
"," 51.6 degrees<ref name=""SATCAT""/>

"," 89.33 minutes<ref name=""SATCAT""/>
"," gee
"," 7
"," [[Frederick W. Sturckow]]<br />[[Kevin A. Ford]]<br />[[Patrick G. Forrester]]<br />[[Jose Hernández (astronaut)|José M. Hernández]]<br />[[John D. Olivas]]<br />[[Christer Fuglesang]]
"
75,STS-129,STS-129,https://en.wikipedia.org/wiki/STS-129," ISS logistics
"," 10 days 19:16:13
"," 171
"," {{OV|104}}
"," {{convert|266424|lbs|kg|disp=flip}}
"," 
",NaN," [[Kennedy Space Center|Kennedy]] [[Kennedy Space Center Launch Complex 39|LC-39A]]
"," {{end-date|November 27, 2009, 14:44:22|timezone=yes}}&nbsp;UTC
"," [[Kennedy Space Center|Kennedy]] [[Shuttle Landing Facility|SLF Runway&nbsp;33]]

"," 
"," [[geocentric orbit|Geocentric]]
"," [[Low Earth orbit|Low Earth]]
"," {{convert|213|mi|km|disp=flip}}
"," {{convert|221|mi|km|disp=flip}}
"," 51.6 degrees

"," 91 minutes
"," gee
"," 6 up<br />7 down
"," [[Charles O. Hobaugh]]<br />[[Barry E. Wilmore]]<br />[[Leland D. Melvin]]<br />[[Randolph Bresnik]]<br />[[Michael Foreman (astronaut)|Michael Foreman]]<br />[[Robert Satcher]]
"
76,STS-130,STS-130,https://en.wikipedia.org/wiki/STS-130," ISS assembly
"," 13 days, 18 hours, 6 minutes, 24 seconds<ref name=""Remaining"">{{cite web|url=http://www.nasa.gov/pdf/394380main_2009.12.01%20Remaining%20Shuttle%20Missions.pdf|title=Remaining Space Shuttle Missions|accessdate=8 December 2009|publisher=[[NASA]]|date= September 2009|author=NASA}}</ref><ref name=""change"">{{cite web|url=http://www.nasaspaceflight.com/2009/12/sts-130-intertank-tested-mission-duration-change-requested/|title=STS-130: ET-134 Intertank tested – Mission duration change requested|accessdate=4 December 2009|publisher=NASASpaceFlight.com|date=4 December 2009|author=Chris Bergin}}</ref><ref name=""extension"">{{cite web|url=http://www.nasaspaceflight.com/2010/02/eva-2-node-3-outfitting-additional-docked-day-taken/|title=EVA-2 continues Node 3 outfitting-Additional docked day option taken|accessdate=13 February 2010|publisher=NASASpaceflight.com|date=13 February 2010|last=Gebhardt|first=Chris}}</ref>
"," 217
"," {{OV|105}}
"," {{convert|4521961|lbs|kg|disp=flip}} (total)<ref name=""press"">{{cite web |url=http://www.nasa.gov/pdf/420302main_sts130_press_kit.pdf |title=NASA STS-130 Press Kit |author=NASA |date=29 January 2010 |publisher=NASA |accessdate=31 January 2010}}</ref><br />{{convert|267470|lbs|kg|disp=flip}} (orbiter)
"," {{convert|200694|lbs|kg|disp=flip}}
",NaN," [[Kennedy Space Center|Kennedy]] [[Kennedy Space Center Launch Complex 39|LC-39A]]
"," {{end-date|22 February 2010, 03:22:10|timezone=yes}}&nbsp;UTC
"," [[Kennedy Space Center|Kennedy]] [[Shuttle Landing Facility|SLF Runway&nbsp;15]]

","
"," [[geocentric orbit|Geocentric]]
"," [[Low Earth orbit|Low Earth]]
"," {{convert|212|mi|km|disp=flip}}
"," {{convert|221|mi|km|disp=flip}}
"," 51.6 degrees

"," 92 minutes
"," gee
"," 6
"," [[George D. Zamka]]<br />[[Terry Virts]]<br />[[Kathryn P. Hire]]<br />[[Stephen Robinson]]<br />[[Nicholas Patrick]]<br />[[Robert L. Behnken]]
"
77,STS-131,STS-131,https://en.wikipedia.org/wiki/STS-131," ISS logistics
"," 15 days 2 hours, 47 min, 11 seconds<ref name=""Remaining"">{{cite web|url=http://www.nasa.gov/pdf/394380main_2009.12.01%20Remaining%20Shuttle%20Missions.pdf|title=Remaining Space Shuttle Missions|accessdate=8 December 2009|publisher=[[NASA]]|date= September 2009|author=NASA}}</ref><ref name=""extra"">{{Cite web|url=http://www.nasaspaceflight.com/2010/04/sts-131-nasa-plan-extra-docked-day-late-inspections/|title=STS-131: NASA managers plan out extra docked day late inspections|accessdate=10 April 2010|publisher=NASASpaceflight.com|author=Chris Bergin}}</ref><ref name=""abc20100419"">{{cite news|url=http://abcnews.go.com/Technology/wireStory?id=10413467|title=Cloudy Skies Delay Space Shuttle's Homecoming|work=ABCNews.com|publisher=[[American Broadcasting Company]]|date=19 April 2010|accessdate=19 April 2010}} {{Dead link|date=October 2010|bot=H3llBot}}</ref>
"," 238
"," {{OV|103}}
"," {{convert|4521749|lbs|kg|disp=flip}}<ref name=""press kit"">{{Cite web|url=http://www.nasa.gov/pdf/435885main_sts131_press_kit.pdf|title=STS-131 press kit|accessdate=26 March 2010|publisher=NASA|author=NASA}}</ref>(total)<br />{{convert|266864|lbs|kg|disp=flip}} (orbiter)
"," {{convert|224957|lbs|kg|disp=flip}}
",NaN," [[Kennedy Space Center|Kennedy]] [[Kennedy Space Center Launch Complex 39|LC-39A]]
"," {{end-date|20 April 2010, 13:08:35|timezone=yes}}&nbsp;UTC
"," [[Kennedy Space Center|Kennedy]] [[Shuttle Landing Facility|SLF Runway&nbsp;15]]

","
"," [[geocentric orbit|Geocentric]]
"," [[Low Earth orbit|Low Earth]]
"," {{convert|200|mi|km|disp=flip}}
"," {{convert|215|mi|km|disp=flip}}
"," 51.6 degrees

"," 90 minutes
"," gee
"," 7
"," [[Alan Poindexter]]<br />[[James Dutton (astronaut)|James Dutton]]<br />[[Richard Mastracchio]]<br />[[Dorothy Metcalf-Lindenburger|Dorothy M. Metcalf-Lindenburger]]<br />[[Stephanie Wilson]]<br />[[Naoko Yamazaki]]<br />[[Clayton Anderson]]
"
78,STS-132,STS-132,https://en.wikipedia.org/wiki/STS-132," ISS assembly
"," 11 days, 18 hours, 29 minutes, 9 seconds<ref name=""STS-132 Mission Information"">{{cite web|url=http://www.nasa.gov/mission_pages/shuttle/shuttlemissions/sts132/index.html|title=STS-132 Mission Information|accessdate=6 March 2010|publisher=[[NASA]]|date= 4 March 2010|author=NASA}}</ref>
"," 186
"," {{OV|104}}
"," {{convert|4519769|lbs|kg|disp=flip}}<ref name=""press"">{{Cite web|url=http://www.nasa.gov/pdf/451029main_sts132_press_kit.pdf|title=Space Shuttle Mission STS-132 Press Kit|author=NASA|date=May 2010|accessdate=7 May 2010}}</ref> (total)<br />{{convert|263100|lbs|kg|disp=flip}} (orbiter)
"," {{convert|209491|lbs|kg|disp=flip}}
",NaN," [[Kennedy Space Center|Kennedy]] [[Kennedy Space Center Launch Complex 39|LC-39A]]
"," {{end-date|26 May 2010, 12:49:18|timezone=yes}}&nbsp;UTC
"," [[Kennedy Space Center|Kennedy]] [[Shuttle Landing Facility|SLF Runway&nbsp;33]]

","
"," [[geocentric orbit|Geocentric]]
"," [[Low Earth orbit|Low Earth]]
"," {{convert|208|mi|km|disp=flip}}<ref>{{cite web|url=http://www.heavens-above.com/orbit.aspx?satid=36572&lat=0&lng=0&loc=Unspecified&alt=0&tz=UTC|title=STS-132 Orbit Data|author=Chris Peat|publisher=Heavens-Above GmbH|accessdate=9 August 2010}}</ref>
"," {{convert|223|mi|km|disp=flip}}
"," 51.6 degrees

"," 91 minutes
"," gee
"," 6
"," [[Kenneth Ham]]<br />[[Dominic A. Antonelli|Dominic A. ""Tony"" Antonelli]]<br />[[Garrett Reisman]]<br />[[Michael T. Good]]<br />[[Stephen G. Bowen]]<br />[[Piers Sellers]]
"
79,Expedition 24,Expedition_24,https://en.wikipedia.org/wiki/Expedition_24," ISS Expedition
","
","

",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN," 6
"," '''Expedition 23/24''':<br/>[[Aleksandr Skvortsov (cosmonaut)|Aleksandr Skvortsov]]<br/>[[Mikhail Korniyenko]]<br/>[[Tracy Caldwell Dyson]]<br/><br/>'''Expedition 24/25''':<br/>[[Fyodor Yurchikhin]]<br/>[[Shannon Walker]]<br/>[[Douglas H. Wheelock]]

"
80,STS-133,STS-133,https://en.wikipedia.org/wiki/STS-133," ISS assembly
"," 12 days, 19 hours, 4 minutes, 50 seconds
","
"," {{OV|103}}
"," Orbiter: {{convert|268620|lbs|kg|disp=flip}}<br />Stack: {{convert|4525220|lbs|kg|disp=flip}}
","
",NaN," [[Kennedy Space Center|Kennedy]] [[Kennedy Space Center Launch Complex 39|LC-39A]]
"," {{end-date|9 March 2011, 16:58:14|timezone=yes}}&nbsp;UTC
"," [[Kennedy Space Center|Kennedy]] [[Shuttle Landing Facility|SLF Runway&nbsp;15]]

"," 25 February 2011<ref name=""SATCAT"">{{cite web|url=http://planet4589.org/space/log/satcat.txt|title=Satellite Catalog|first=Jonathan|last=McDowell|work=Jonathan's Space Page|accessdate=28 May 2013}}</ref>
"," [[geocentric orbit|Geocentric]]
"," [[Low Earth orbit|Low Earth]]
"," {{convert|208|km}}<ref name=""SATCAT""/>
"," {{convert|232|km}}<ref name=""SATCAT""/>
"," 51.6 degrees<ref name=""SATCAT""/>

"," 88.89 minutes<ref name=""SATCAT""/>
"," gee
"," 6
"," [[Steven Lindsey]]<br />[[Eric Boe]]<br />[[Nicole Stott]]<br />[[Alvin Drew]]<br />[[Michael Barratt (astronaut)|Michael Barratt]]<br />[[Stephen Bowen (astronaut)|Stephen Bowen]]
"
81,STS-134,STS-134,https://en.wikipedia.org/wiki/STS-134," ISS assembly
"," 15 days, 17 hours, 38 minutes, 51 seconds
","
"," {{OV|105}}
"," {{convert|4524863|lbs|kg|disp=flip}} (total)<br />{{convert|268580|lbs|kg|disp=flip}} (orbiter)<ref name=""press_kit"">{{Cite web|url=http://www.nasa.gov/pdf/538352main_sts134_presskit_508.pdf|title=STS-134 Press Kit|accessdate=16 May 2011|publisher=NASA}}</ref><ref name=""obss"" />
"," {{convert|203354|lbs|kg|disp=flip}}<ref name=""press_kit""/><ref name=""obss"" />
",NaN," [[Kennedy Space Center|Kennedy]] [[Kennedy Space Center Launch Complex 39|LC-39A]]
"," {{end-date|1 June 2011, 06:35|timezone=yes}}&nbsp;UTC<ref name=""landing"">{{Cite web|url=http://www.nasa.gov/mission_pages/shuttle/launch/index.html|title=Space Shuttle Launch and Landing|accessdate=16 May 2011|publisher=NASA}}</ref>
"," [[Kennedy Space Center|Kennedy]] [[Shuttle Landing Facility|SLF Runway&nbsp;15]]

"," 17 May 2011<ref name=""SATCAT"">{{cite web|url=http://planet4589.org/space/log/satcat.txt|title=Satellite Catalog|first=Jonathan|last=McDowell|work=Jonathan's Space Page|accessdate=24 May 2013}}</ref>
"," [[geocentric orbit|Geocentric]]
"," [[Low Earth orbit|Low Earth]]
"," {{convert|321|km}}<ref name=""SATCAT""/>
"," {{convert|343|km}}<ref name=""SATCAT""/>
"," 51.6 degrees

"," 91.17 minutes<ref name=""SATCAT""/>
"," gee
"," 6
"," [[Mark Kelly (astronaut)|Mark E. Kelly]]<br />[[Gregory H. Johnson]]<br />[[Michael Fincke]]<br />[[Roberto Vittori]]<br />[[Andrew J. Feustel]]<br />[[Gregory Chamitoff]]
"
